,,,,,,,,,,,,
,,,,,,,,,,,,
"Subject 1:
Comprehensive English","Subject2£º
Math","Subject3£º
Pre-Calculus","Subject4£º
Pre-Physics","Subject5:
Chemistry","Subject6:
Pre-Chemistry","Subject7:
 Biology","Subject8:
 Pre-Biology","Subject9£º
American Studies ",,,,
72 ,62 ,75 ,74 ,80 ,71 ,83 ,78 ,94.3,,,,
83 ,90 ,87 ,83 ,88 ,92 ,92 ,89 ,96.5,,,,
85 ,90 ,88 ,92 ,93 ,94 ,88 ,98 ,97.2,,,,
82 ,81 ,84 ,82 ,81 ,91 ,90 ,88 ,95.0,,,,
74 ,80 ,89 ,86 ,93 ,94 ,91 ,90 ,96.6,,,,
82 ,72 ,76 ,85 ,79 ,74 ,87 ,89 ,96.3,,,,
72 ,74 ,71 ,76 ,76 ,79 ,85 ,75 ,93.2,,,,
72 ,68 ,73 ,60 ,79 ,79 ,81 ,74 ,91.7,,,,
77 ,83 ,81 ,89 ,91 ,87 ,87 ,91 ,92.3,,,,
83 ,91 ,86 ,91 ,92 ,93 ,93 ,96 ,96.6,,,,
89 ,85 ,88 ,82 ,90 ,94 ,96 ,90 ,95.8,,,,
89 ,94 ,96 ,93 ,96 ,98 ,97 ,98 ,100.0,,,,
86 ,86 ,87 ,81 ,91 ,90 ,90 ,96 ,98.0,,,,
84 ,86 ,84 ,80 ,89 ,86 ,87 ,91 ,100.0,,,,
79 ,85 ,80 ,82 ,87 ,87 ,91 ,93 ,97.3,,,,
92 ,98 ,97 ,99 ,95 ,91 ,91 ,98 ,100.0,,,,
79 ,87 ,90 ,86 ,90 ,89 ,91 ,94 ,96.8,,,,
66 ,75 ,85 ,62 ,92 ,84 ,86 ,73 ,87.4,,,,
88 ,91 ,81 ,88 ,94 ,95 ,95 ,99 ,99.0,,,,
91 ,76 ,72 ,80 ,81 ,78 ,93 ,93 ,100.0,,,,
76 ,62 ,69 ,71 ,79 ,64 ,74 ,81 ,93.2,,,,
80 ,74 ,81 ,73 ,92 ,91 ,87 ,88 ,97.3,,,,
78 ,68 ,89 ,76 ,83 ,87 ,78 ,76 ,84.1,,,,
84 ,78 ,77 ,82 ,85 ,74 ,92 ,93 ,94.8,,,,
72 ,56 ,67 ,67 ,61 ,57 ,70 ,64 ,85.8,,,,
81 ,71 ,82 ,73 ,85 ,67 ,87 ,81 ,94.3,,,,
84 ,71 ,74 ,67 ,84 ,90 ,85 ,83 ,98.3,,,,
44 ,42 ,42 ,,39 ,39 ,,,40.5,,,,
85 ,90 ,88 ,83 ,89 ,90 ,94 ,94 ,100.0,,,,
75 ,84 ,75 ,80 ,93 ,84 ,91 ,82 ,96.0,,,,
78 ,82 ,79 ,73 ,84 ,81 ,89 ,86 ,89.0,,,,
77 ,80 ,87 ,77 ,90 ,90 ,87 ,90 ,97.1,,,,
90 ,89 ,85 ,87 ,90 ,90 ,91 ,98 ,99.7,,,,
95 ,89 ,89 ,87 ,90 ,92 ,94 ,97 ,100.0,,,,
88 ,91 ,90 ,90 ,94 ,88 ,91 ,91 ,100.0,,,,
88 ,78 ,87 ,78 ,93 ,88 ,87 ,94 ,97.5,,,,
93 ,64 ,89 ,82 ,81 ,84 ,93 ,95 ,98.3,,,,
85 ,51 ,63 ,63 ,82 ,87 ,85 ,87 ,93.5,,,,
87 ,85 ,89 ,88 ,91 ,95 ,93 ,97 ,98.5,,,,
87 ,82 ,67 ,86 ,84 ,88 ,86 ,91 ,95.5,,,,
43 ,37 ,37 ,,44 ,44 ,,,49.3,,,,
79 ,96 ,99 ,90 ,94 ,95 ,93 ,90 ,99,,,,
67 ,69 ,68 ,60 ,78 ,73 ,88 ,88 ,95.6,,,,
77 ,72 ,78 ,68 ,81 ,77 ,87 ,82 ,99,,,,
82 ,74 ,90 ,72 ,98 ,83 ,92 ,89 ,100,,,,
74 ,65 ,65 ,71 ,82 ,68 ,85 ,76 ,97.8,,,,
85 ,84 ,85 ,88 ,95 ,97 ,95 ,98 ,98.5,,,,
74 ,62 ,61 ,70 ,75 ,65 ,85 ,84 ,96.8,,,,
85 ,64 ,71 ,76 ,85 ,80 ,92 ,86 ,98.5,,,,
78 ,95 ,90 ,92 ,93 ,94 ,91 ,97 ,98.6,,,,
70 ,72 ,61 ,78 ,80 ,79 ,71 ,85 ,75.6,,,,
87 ,95 ,85 ,93 ,94 ,94 ,95 ,99 ,100,,,,
75 ,74 ,77 ,73 ,95 ,92 ,92 ,91 ,98.9,,,,
80 ,73 ,82 ,73 ,83 ,81 ,85 ,90 ,97,,,,
89 ,97 ,99 ,99 ,97 ,98 ,98 ,99 ,100,,,,
83 ,85 ,83 ,76 ,91 ,94 ,88 ,92 ,100,,,,
78 ,76 ,88 ,85 ,85 ,85 ,84 ,92 ,83.9,,,,
92 ,80 ,76 ,74 ,88 ,85 ,91 ,97 ,100,,,,
80 ,68 ,80 ,82 ,78 ,82 ,78 ,87 ,93.4,,,,
89 ,94 ,93 ,94 ,95 ,96 ,98 ,99 ,100,,,,
85 ,88 ,98 ,88 ,98 ,98 ,93 ,96 ,100,,,,
69 ,84 ,75 ,62 ,75 ,63 ,71 ,77 ,90.3,,,,
68 ,85 ,84 ,83 ,92 ,90 ,84 ,95 ,96.6,,,,
